t=1789112854.687s wall=1789112844687ms | player_A: -474ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.692s wall=1789112844692ms | player_A: -469ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.697s wall=1789112844697ms | player_A: -464ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.700s wall=1789112844700ms | player_A: -461ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.705s wall=1789112844705ms | player_A: -456ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.710s wall=1789112844710ms | player_A: -451ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.715s wall=1789112844715ms | player_A: -447ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.718s wall=1789112844718ms | player_A: -443ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.723s wall=1789112844723ms | player_A: -438ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.728s wall=1789112844728ms | player_A: -433ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.732s wall=1789112844732ms | player_A: -429ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.737s wall=1789112844737ms | player_A: -425ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.741s wall=1789112844741ms | player_A: -420ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.746s wall=1789112844746ms | player_A: -415ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.751s wall=1789112844751ms | player_A: -410ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.856s wall=1789112844856ms | player_A: -306ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.859s wall=1789112844859ms | player_A: -302ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.862s wall=1789112844862ms | player_A: -299ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.865s wall=1789112844865ms | player_A: -297ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.868s wall=1789112844868ms | player_A: -294ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.870s wall=1789112844870ms | player_A: -291ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
